61,0,0.071418434
61,1,0.047748998
62,0,0.06351428
62,1,0.06275598
63,0,0.055171218
63,1,0.06938175
64,0,0.0588525
64,1,0.07263273
65,0,0.05638592
65,1,0.063005425
66,0,0.07160537
66,1,0.06851231
67,0,0.055906698
67,1,0.05147454
68,0,0.063270316
68,1,0.05529575
69,0,0.06593644
69,1,0.06306887
70,0,0.0653057
70,1,0.06715117
71,0,0.05524393
71,1,nan
72,0,0.064311124
72,1,0.05952963
73,0,0.06732446
73,1,0.06824543
74,0,nan
74,1,nan
75,0,0.07775597
75,1,0.06664014
76,0,0.040339857
76,1,0.063389845
77,0,0.069808
77,1,nan
78,0,0.0643507
78,1,0.06512833
79,0,0.079188734
79,1,0.082462914
80,0,0.061691415
80,1,0.057469282
81,0,0.05553304
81,1,0.062884144
82,0,0.06531205
82,1,0.061326455
83,0,0.07209102
83,1,0.07467159
84,0,0.06241491
84,1,0.084163934
85,0,0.061445672
85,1,0.053009335
86,0,nan
86,1,nan
87,0,0.07011437
87,1,0.064968914
88,0,0.060256828
88,1,0.07775019
89,0,0.0628575
89,1,0.06480181
90,0,0.06317345
90,1,0.05765583
91,0,0.07417615
91,1,0.04785554
92,0,0.06759229
92,1,0.07341002
93,0,0.06826174
93,1,0.07757696
94,0,0.051444247
94,1,0.0947597
95,0,0.07561193
95,1,0.061896883
96,0,0.067792706
96,1,0.06520027
97,0,0.053667013
97,1,0.04384084
98,0,0.06261079
98,1,0.067820854
99,0,0.068600945
99,1,0.05952016
100,0,0.048617795
100,1,0.074660346
101,0,0.06936723
101,1,0.06618013
102,0,0.074238285
102,1,0.06574274
103,0,0.073629424
103,1,0.06869584
104,0,0.062368285
104,1,0.07600923
105,0,0.06694063
105,1,0.05612024
106,0,0.05981584
106,1,0.06404261
107,0,0.055970274
107,1,0.07129871
108,0,nan
108,1,0.057945073
109,0,0.055685103
109,1,0.063641384
110,0,0.06418734
110,1,0.06759202
111,0,0.07413835
111,1,0.05992935
112,0,0.066293746
112,1,0.068221256
113,0,0.0638463
113,1,0.06056473
114,0,0.074812315
114,1,0.07173119
115,0,0.057210825
115,1,0.069258675
116,0,0.06567908
116,1,0.058875624
117,0,0.12331104
117,1,0.06361312
118,0,0.07080991
118,1,0.068836406
119,0,0.06470198
119,1,0.07063062
120,0,0.07134459
120,1,0.07360589
121,0,0.06294963
121,1,0.06436604
122,0,nan
122,1,0.07147425
123,0,0.06131787
123,1,0.06785509
124,0,0.06690052
124,1,0.07070572
125,0,0.07299877
125,1,0.066984445
126,0,nan
126,1,0.03758186
127,0,0.06479407
127,1,0.06734229
128,0,0.073193304
128,1,0.065996446
129,0,0.06820433
129,1,0.061961852
130,0,0.06470043
130,1,nan
131,0,0.06518605
131,1,0.049863197
132,0,0.063066766
132,1,0.061566416
133,0,0.05419948
133,1,0.051192205
134,0,0.06889914
134,1,0.06303253
135,0,0.064986154
135,1,0.07024973
136,0,0.065191396
136,1,0.06018344
137,0,0.06818745
137,1,0.061660133
138,0,0.065313816
138,1,0.06752409
139,0,0.07228043
139,1,0.06067064
140,0,0.07212106
140,1,0.068240926
141,0,0.06727124
141,1,0.06447552
142,0,0.040366277
142,1,0.06493955
143,0,0.0784218
143,1,0.05883827
144,0,0.07564871
144,1,0.076919116
145,0,0.06861866
145,1,0.07462336
146,0,0.070360966
146,1,0.070974834
147,0,0.07374858
147,1,0.05957533
148,0,nan
148,1,nan
149,0,0.06465024
149,1,0.06461492
